university_name,city,state,program_name,duration,minimum_gpa,gre_policy,eligible_backgrounds,courses,topics,intake,application_deadline,stem_designated,estimated_tuition
Westbridge University,Phoenix,Arizona,MS Computer Science,24,3.0,GRE Optional,Computer Science | Information Technology | Electronics,CS501 - Machine Learning | CS502 - Advanced Algorithms | CS503 - Distributed Systems,Artificial Intelligence | Machine Learning | Algorithms,Fall | Spring,15 Dec,True,35000
Lakeside University,Austin,Texas,MS Information Systems,18,2.8,GRE Not Required,Computer Science | Information Technology | Electronics | Mechanical Engineering,IS501 - Database Systems | IS502 - Cloud Computing | IS503 - Enterprise Systems,Databases | Cloud Computing | Data Engineering,Fall,15 Jan,True,28000
North Valley University,San Jose,California,MS Robotics,24,3.1,GRE Required,Computer Science | Electronics | Mechanical Engineering,RB501 - Robotics Systems | RB502 - Computer Vision | RB503 - Autonomous Systems,Robotics | Artificial Intelligence | Computer Vision,Fall | Spring,15 Dec,False,28000
Greenfield Tech University,Boston,Massachusetts,MS Data Science,18,3.0,GRE Not Required,Computer Science | Information Technology | Electronics | Mathematics | Statistics,DS501 - Data Mining | DS502 - Applied Machine Learning | DS503 - Data Visualization,Machine Learning | Data Engineering | Artificial Intelligence,Fall,15 Dec,True,32000
Riverstone University,Chicago,Illinois,MS Cybersecurity,24,3.0,GRE Optional,Computer Science | Information Technology | Electronics,CY501 - Network Security | CY502 - Ethical Hacking | CY503 - Cloud Security,Cybersecurity | Cloud Computing | Networks,Fall | Spring,15 Dec,True,41000
Pacific Crest University,Seattle,Washington,MS Business Analytics,18,2.9,GRE Optional,Computer Science | Information Technology | Mathematics | Statistics | Business,BA501 - Business Intelligence | BA502 - Predictive Analytics | BA503 - Data Visualization,Analytics | Machine Learning | Data Visualization,Fall,Rolling,False,28000
Eastern Heights University,Raleigh,North Carolina,MS Artificial Intelligence,24,3.2,GRE Required,Computer Science | Information Technology,AI501 - Deep Learning | AI502 - Natural Language Processing | AI503 - Computer Vision,Artificial Intelligence | Machine Learning | Natural Language Processing,Fall,Rolling,False,35000
Summit State University,Denver,Colorado,MS Software Engineering,18,3.0,GRE Not Required,Computer Science | Information Technology | Electronics,SE501 - Software Architecture | SE502 - DevOps | SE503 - Software Testing,Software Engineering | Cloud Computing | DevOps,Fall,15 Jan,False,28000
Westbridge University,Phoenix,Arizona,MS Data Science,18,3.0,GRE Not Required,Computer Science | Information Technology | Electronics | Mathematics | Statistics,DS501 - Data Mining | DS502 - Applied Machine Learning | DS503 - Data Visualization,Machine Learning | Data Engineering | Artificial Intelligence,Fall,Rolling,True,35000
Lakeside University,Austin,Texas,MS Cybersecurity,24,3.0,GRE Optional,Computer Science | Information Technology | Electronics,CY501 - Network Security | CY502 - Ethical Hacking | CY503 - Cloud Security,Cybersecurity | Cloud Computing | Networks,Spring,1 Feb,True,41000
North Valley University,San Jose,California,MS Business Analytics,18,2.9,GRE Optional,Computer Science | Information Technology | Mathematics | Statistics | Business,BA501 - Business Intelligence | BA502 - Predictive Analytics | BA503 - Data Visualization,Analytics | Machine Learning | Data Visualization,Fall | Spring,15 Dec,False,28000
