university_name,city,state,program_name,duration,minimum_gpa,gre_policy,eligible_backgrounds,courses,topics,intake,application_deadline,stem_designated,estimated_tuition
Westbridge University,Phoenix ,Arizona,MS Computer Science,24 months,3,GRE Optional,CS | IT | ECE,CS501 - Machine Learning | CS502 - Advanced Algorithms | CS503 - Distributed Systems,AI | ML | Algorithms,Fall | Spring,15 Dec,Yes,$35k
Lakeside Univ.,Austin,Texas,MS Information Systems,18 months,2.8,GRE Not Required,Computer Science | Information Technology | Electronics | Mechanical Engineering,IS501 - Database Systems | IS502 - Cloud Computing | IS503 - Enterprise Systems,Databases | Cloud Computing | Data Engineering,Fall,15 Jan,Yes,"$28,000"
north valley university ,San Jose,California,MS Robotics,24 months,3.1,GRE Required,Computer Science | Electronics | Mechanical Engineering,RB501 - Robotics Systems | RB502 - Computer Vision | RB503 - Autonomous Systems,Robotics | Artificial Intelligence | Computer Vision,Fall | Spring,15 Dec,No,"$28,000"
Greenfield Tech University,Boston,MA,MS Data Science,18 months,3.0,GRE Not Required,Computer Science | Information Technology | Electronics | Mathematics | Statistics,DS501 - Data Mining | DS502 - Applied Machine Learning | DS503 - Data Visualization,Machine Learning | Data Engineering | Artificial Intelligence,Fall,15 Dec,Yes,32000 USD
Riverstone University,Chicago,Illinois,M.S. Cybersecurity,24 months,3.0,GRE Optional,Computer Science | Information Technology | Electronics,CY501 - Network Security | CY502 - Ethical Hacking | CY503 - Cloud Security,Cybersecurity | Cloud Computing | Networks,Fall | Spring,15 Dec,Yes,41000
Pacific Crest University,Seattle,Washington,Masters in Business Analytics,18 months,2.9,GRE Optional,CS | IT | Maths | Stats | Business,BA501 - Business Intelligence | BA502 - Predictive Analytics | BA503 - Data Visualization,Analytics | Machine Learning | Data Visualization,Fall,Rolling,No,"$28,000"
Eastern Heights University,Raleigh,North Carolina,MS Artificial Intelligence,2 years,3.2,GRE Required,Computer Science | Information Technology,AI501 - Deep Learning | AI502 - Natural Language Processing | AI503 - Computer Vision,AI | ML | NLP,Fall,Rolling,No,$35k
Summit State University,Denver,Colorado,MS Software Engineering,18 months,3.0,No GRE,Computer Science | Information Technology | Electronics,SE501 - Software Architecture | SE502 - DevOps | SE503 - Software Testing,Software Engineering | Cloud Computing | DevOps,Fall,15 Jan,No,"$28,000"
Westbridge Univ.,Phoenix,Arizona,MS Data Science,18 months,3.0,GRE Not Required,Computer Science | Information Technology | Electronics | Mathematics | Statistics,DS501 - Data Mining | DS502 - Applied Machine Learning | DS503 - Data Visualization,Machine Learning | Data Engineering | Artificial Intelligence,Fall,Rolling,Yes,$35k
Lakeside University,Austin,TX,MS Cybersecurity,24 months,3.0,GRE Optional,Computer Science | Information Technology | Electronics,CY501 - Network Security | CY502 - Ethical Hacking | CY503 - Cloud Security,Cybersecurity | Cloud Computing | Networks,Spring,1 Feb,Yes,41000
North Valley University,San Jose,California,MS Business Analytics,18 months,2.9,GRE Optional,CS | IT | Maths | Stats | Business,BA501 - Business Intelligence | BA502 - Predictive Analytics | BA503 - Data Visualization,Analytics | Machine Learning | Data Visualization,Fall | Spring,15 Dec,No,"$28,000"
Greenfield Tech University,Boston,Massachusetts,MS Artificial Intelligence,24 months,3.2,GRE Required,Computer Science | Information Technology,AI501 - Deep Learning | AI502 - Natural Language Processing | AI503 - Computer Vision,Artificial Intelligence | Machine Learning | Natural Language Processing,Fall | Spring,1 Feb,No,32000 USD
Riverstone University,Chicago ,Illinois,MS Software Engineering,18 months,3.0,GRE Not Required,Computer Science | Information Technology | Electronics,SE501 - Software Architecture | SE502 - DevOps | SE503 - Software Testing,Software Engineering | Cloud Computing | DevOps,Fall | Spring,15 Dec,Yes,32000 USD
pacific crest university ,Seattle,Washington,M.S. Computer Science,24 months,3.0,GRE Optional,Computer Science | Information Technology | Electronics,CS501 - Machine Learning | CS502 - Advanced Algorithms | CS503 - Distributed Systems,Artificial Intelligence | Machine Learning | Algorithms,Spring,15 Dec,Yes,"$28,000"
Eastern Heights University,Raleigh,North Carolina,MS Information Systems,18,2.8,GRE Not Required,Computer Science | Information Technology | Electronics | Mechanical Engineering,IS501 - Database Systems | IS502 - Cloud Computing | IS503 - Enterprise Systems,Databases | Cloud Computing | Data Engineering,Spring,1 Feb,No,$35k
Summit State Univ.,Denver,CO,MS Robotics,24 months,3.1,GRE Required,CS | ECE | Mechanical Engineering,RB501 - Robotics Systems | RB502 - Computer Vision | RB503 - Autonomous Systems,Robotics | Artificial Intelligence | Computer Vision,Fall,1 Feb,No,32000 USD
Westbridge University,Phoenix,Arizona,MS Artificial Intelligence,24 months,3.2,GRE Required,Computer Science | Information Technology,AI501 - Deep Learning | AI502 - Natural Language Processing | AI503 - Computer Vision,Artificial Intelligence | Machine Learning | Natural Language Processing,Fall | Spring,1 Feb,Yes,32000 USD
